StartSize,MutRate,id,ProgCont,ProgAdap,0~ContRes,0~ContAll,0~AdapRes,0~AdapAll,20~ContRes,20~ContAll,20~AdapRes,20~AdapAll,40~ContRes,40~ContAll,40~AdapRes,40~AdapAll,60~ContRes,60~ContAll,60~AdapRes,60~AdapAll,80~ContRes,80~ContAll,80~AdapRes,80~AdapAll,100~ContRes,100~ContAll,100~AdapRes,100~AdapAll,120~ContRes,120~ContAll,120~AdapRes,120~AdapAll,140~ContRes,140~ContAll,140~AdapRes,140~AdapAll,160~ContRes,160~ContAll,160~AdapRes,160~AdapAll,180~ContRes,180~ContAll,180~AdapRes,180~AdapAll,200~ContRes,200~ContAll,200~AdapRes,200~AdapAll,220~ContRes,220~ContAll,220~AdapRes,220~AdapAll,240~ContRes,240~ContAll,240~AdapRes,240~AdapAll,260~ContRes,260~ContAll,260~AdapRes,260~AdapAll,280~ContRes,280~ContAll,280~AdapRes,280~AdapAll,300~ContRes,300~ContAll,300~AdapRes,300~AdapAll,320~ContRes,320~ContAll,320~AdapRes,320~AdapAll,340~ContRes,340~ContAll,340~AdapRes,340~AdapAll,360~ContRes,360~ContAll,360~AdapRes,360~AdapAll,380~ContRes,380~ContAll,380~AdapRes,380~AdapAll,400~ContRes,400~ContAll,400~AdapRes,400~AdapAll,420~ContRes,420~ContAll,420~AdapRes,420~AdapAll,440~ContRes,440~ContAll,440~AdapRes,440~AdapAll,460~ContRes,460~ContAll,460~AdapRes,460~AdapAll,480~ContRes,480~ContAll,480~AdapRes,480~AdapAll,500~ContRes,500~ContAll,500~AdapRes,500~AdapAll,520~ContRes,520~ContAll,520~AdapRes,520~AdapAll,540~ContRes,540~ContAll,540~AdapRes,540~AdapAll,560~ContRes,560~ContAll,560~AdapRes,560~AdapAll,580~ContRes,580~ContAll,580~AdapRes,580~AdapAll,600~ContRes,600~ContAll,600~AdapRes,600~AdapAll,620~ContRes,620~ContAll,620~AdapRes,620~AdapAll,640~ContRes,640~ContAll,640~AdapRes,640~AdapAll,660~ContRes,660~ContAll,660~AdapRes,660~AdapAll,680~ContRes,680~ContAll,680~AdapRes,680~AdapAll,700~ContRes,700~ContAll,700~AdapRes,700~AdapAll,720~ContRes,720~ContAll,720~AdapRes,720~AdapAll,740~ContRes,740~ContAll,740~AdapRes,740~AdapAll,760~ContRes,760~ContAll,760~AdapRes,760~AdapAll,780~ContRes,780~ContAll,780~AdapRes,780~AdapAll,800~ContRes,800~ContAll,800~AdapRes,800~AdapAll,820~ContRes,820~ContAll,820~AdapRes,820~AdapAll,840~ContRes,840~ContAll,840~AdapRes,840~AdapAll,860~ContRes,860~ContAll,860~AdapRes,860~AdapAll,880~ContRes,880~ContAll,880~AdapRes,880~AdapAll,900~ContRes,900~ContAll,900~AdapRes,900~AdapAll,920~ContRes,920~ContAll,920~AdapRes,920~AdapAll,940~ContRes,940~ContAll,940~AdapRes,940~AdapAll,960~ContRes,960~ContAll,960~AdapRes,960~AdapAll,980~ContRes,980~ContAll,980~AdapRes,980~AdapAll
1000000.0,1.0E-7,0.0,-1.0,310.0,0.0,1001182.0,0.0,1009415.0,0.0,373386.0,0.0,620451.0,0.0,159569.0,2.0,711993.0,0.0,69763.0,5.0,878353.0,0.0,30890.0,24.0,493410.0,0.0,13374.0,66.0,872460.0,0.0,5529.0,213.0,664833.0,0.0,2434.0,660.0,655598.0,0.0,1086.0,2121.0,922163.0,0.0,458.0,6487.0,510520.0,0.0,176.0,20389.0,961478.0,0.0,50.0,63655.0,546185.0,0.0,22.0,195651.0,866415.0,0.0,7.0,505913.0,786509.0,0.0,8.0,744566.0,860849.0,0.0,2.0,972608.0,1021801.0,0.0,0.0,1490407.0,1510851.0,0.0,0.0,2185740.0,2192836.0,0.0,0.0,2444648.0,2446641.0,0.0,0.0,2663340.0,2664024.0,0.0,0.0,3170448.0,3170752.0,0.0,0.0,4388174.0,4388304.0,0.0,0.0,6923033.0,6923076.0,0.0,0.0,1.0857848E7,1.0857863E7,0.0,0.0,1.4865506E7,1.4865508E7,0.0,0.0,1.8636243E7,1.8636244E7,0.0,0.0,2.1722001E7,2.1722001E7,0.0,0.0,2.4804204E7,2.4804204E7,0.0,0.0,2.8150966E7,2.8150966E7,0.0,0.0,3.1555661E7,3.1555662E7,0.0,0.0,3.6134573E7,3.6134574E7,0.0,0.0,4.3730818E7,4.3730819E7,0.0,0.0,5.5039884E7,5.5039889E7,0.0,0.0,6.7275053E7,6.7275054E7,0.0,0.0,7.9286431E7,7.9286433E7,0.0,0.0,9.0505399E7,9.0505401E7,0.0,0.0,1.00669671E8,1.00669673E8,0.0,0.0,1.09357956E8,1.09357957E8,0.0,0.0,1.19194298E8,1.191943E8,0.0,0.0,1.31398062E8,1.31398063E8,0.0,0.0,1.43426085E8,1.43426085E8,0.0,0.0,1.58443863E8,1.58443864E8,0.0,0.0,1.78122002E8,1.78122005E8,0.0,0.0,2.01864299E8,2.01864302E8,0.0,0.0,2.25139391E8,2.25139392E8,0.0,0.0,2.43667104E8,2.43667105E8,0.0,0.0,2.59277815E8,2.59277817E8,0.0,0.0,2.72317602E8,2.72317602E8,0.0,0.0,2.85479429E8,2.8547943E8,0.0,0.0,2.97872985E8,2.97872986E8
1000000.0,1.0E-8,0.0,-1.0,-1.0,0.0,1005751.0,0.0,1008578.0,0.0,375398.0,0.0,621056.0,0.0,160232.0,0.0,712663.0,0.0,69350.0,0.0,876542.0,0.0,30354.0,0.0,490456.0,0.0,13163.0,0.0,862927.0,0.0,5828.0,0.0,652721.0,0.0,2403.0,0.0,638604.0,0.0,1075.0,0.0,980064.0,0.0,504.0,0.0,481670.0,0.0,226.0,0.0,803919.0,0.0,93.0,0.0,753242.0,0.0,41.0,0.0,617689.0,0.0,28.0,0.0,1056383.0,0.0,9.0,0.0,479491.0,0.0,2.0,0.0,809622.0,0.0,0.0,0.0,759328.0,0.0,0.0,0.0,570976.0,0.0,0.0,0.0,973939.0,0.0,0.0,0.0,551178.0,0.0,0.0,0.0,760851.0,0.0,0.0,0.0,792319.0,0.0,0.0,0.0,595550.0,0.0,0.0,0.0,1022724.0,0.0,0.0,0.0,522444.0,0.0,0.0,0.0,799899.0,0.0,0.0,0.0,753997.0,0.0,0.0,0.0,571233.0,0.0,0.0,0.0,979051.0,0.0,0.0,0.0,556809.0,0.0,0.0,0.0,769117.0,0.0,0.0,0.0,803056.0,0.0,0.0,0.0,552138.0,0.0,0.0,0.0,1049495.0,0.0,0.0,0.0,538419.0,0.0,0.0,0.0,748148.0,0.0,0.0,0.0,785149.0,0.0,0.0,0.0,594894.0,0.0,0.0,0.0,1024101.0,0.0,0.0,0.0,525594.0,0.0,0.0,0.0,807263.0,0.0,0.0,0.0,769132.0,0.0,0.0,0.0,582627.0,0.0,0.0,0.0,1110251.0,0.0,0.0,0.0,511470.0,0.0,0.0,0.0,787177.0,0.0,0.0,0.0,748740.0,0.0,0.0,0.0,627432.0,0.0,0.0,0.0,985020.0,0.0,0.0,0.0,503215.0
1000000.0,1.0E-9,0.0,-1.0,-1.0,0.0,1011017.0,0.0,1005702.0,0.0,376358.0,0.0,614940.0,0.0,160804.0,0.0,705455.0,0.0,70116.0,0.0,871068.0,0.0,30221.0,0.0,527902.0,0.0,13261.0,0.0,946880.0,0.0,5740.0,0.0,581567.0,0.0,2492.0,0.0,696312.0,0.0,1055.0,0.0,880137.0,0.0,474.0,0.0,527645.0,0.0,223.0,0.0,982327.0,0.0,152.0,0.0,555829.0,0.0,48.0,0.0,759811.0,0.0,14.0,0.0,790385.0,0.0,6.0,0.0,589493.0,0.0,8.0,0.0,1011759.0,0.0,4.0,0.0,520101.0,0.0,4.0,0.0,795372.0,0.0,1.0,0.0,752481.0,0.0,0.0,0.0,625370.0,0.0,0.0,0.0,974018.0,0.0,0.0,0.0,494271.0,0.0,0.0,0.0,932278.0,0.0,0.0,0.0,586077.0,0.0,0.0,0.0,734815.0,0.0,0.0,0.0,851432.0,0.0,0.0,0.0,529978.0,0.0,0.0,0.0,1006404.0,0.0,0.0,0.0,570737.0,0.0,0.0,0.0,716466.0,0.0,0.0,0.0,828814.0,0.0,0.0,0.0,567517.0,0.0,0.0,0.0,979407.0,0.0,0.0,0.0,557960.0,0.0,0.0,0.0,775823.0,0.0,0.0,0.0,736145.0,0.0,0.0,0.0,615195.0,0.0,0.0,0.0,1065205.0,0.0,0.0,0.0,493584.0,0.0,0.0,0.0,842931.0,0.0,0.0,0.0,724426.0,0.0,0.0,0.0,609513.0,0.0,0.0,0.0,1052493.0,0.0,0.0,0.0,487664.0,0.0,0.0,0.0,922214.0,0.0,0.0,0.0,583879.0,0.0,0.0,0.0,733588.0,0.0,0.0,0.0,849116.0,0.0,0.0,0.0,532390.0,0.0,0.0,0.0,1010827.0
1.0E7,1.0E-7,0.0,498.0,430.0,0.0,1.0025823E7,1.0,1.0014099E7,1.0,3636474.0,6.0,6490400.0,5.0,1595701.0,11.0,7065219.0,6.0,720784.0,22.0,8357883.0,8.0,326498.0,53.0,5012088.0,30.0,146026.0,148.0,9861349.0,105.0,64487.0,456.0,6330493.0,378.0,28780.0,1153.0,6594457.0,1183.0,13492.0,3395.0,9029290.0,3724.0,9000.0,9740.0,4920852.0,12014.0,14276.0,28279.0,8398876.0,37990.0,38881.0,87681.0,7089762.0,119157.0,119563.0,242764.0,6050614.0,350649.0,350859.0,665580.0,9494855.0,593635.0,593716.0,1280330.0,5712343.0,684884.0,684944.0,2128058.0,8776699.0,728167.0,728199.0,2798232.0,6825111.0,770173.0,770192.0,3856191.0,5525989.0,838843.0,838850.0,4672208.0,5362692.0,998888.0,998888.0,5549782.0,5842038.0,1444162.0,1444162.0,7355209.0,7475001.0,2669228.0,2669228.0,1.0074017E7,1.0120223E7,4977393.0,4977393.0,1.4040506E7,1.4056939E7,7489210.0,7489211.0,1.9449633E7,1.94551E7,9901848.0,9901848.0,2.5276397E7,2.5277842E7,1.225528E7,1.225528E7,3.0623091E7,3.0623383E7,1.4341148E7,1.4341148E7,3.5870102E7,3.5870142E7,1.5389746E7,1.5389746E7,4.127203E7,4.1272037E7,1.6334895E7,1.6334895E7,4.6468052E7,4.6468054E7,1.8243434E7,1.8243434E7,5.2086424E7,5.2086424E7,2.2784471E7,2.2784472E7,6.0259785E7,6.0259786E7,3.0906019E7,3.0906019E7,7.1803722E7,7.1803722E7,4.0371259E7,4.0371259E7,8.5076556E7,8.5076556E7,4.9032228E7,4.9032228E7,9.886744E7,9.8867442E7,5.7296326E7,5.7296327E7,1.12708269E8,1.1270827E8,6.5210503E7,6.5210504E7,1.25410339E8,1.2541034E8,7.1795124E7,7.1795124E7,1.39578832E8,1.39578833E8,7.7730048E7,7.7730051E7,1.54246764E8,1.54246766E8,8.3337224E7,8.3337224E7,1.69618256E8,1.69618257E8,9.1690373E7,9.1690374E7,1.86937668E8,1.86937673E8,1.03834752E8,1.03834753E8,2.05111512E8,2.05111515E8,1.21118041E8,1.21118043E8,2.24636828E8,2.24636829E8,1.4166645E8,1.41666451E8,2.44729942E8,2.44729943E8,1.61544141E8,1.61544144E8,2.64465499E8,2.64465501E8,1.77415323E8,1.77415327E8,2.82542415E8,2.82542417E8,1.90630566E8,1.90630569E8,2.97807726E8,2.97807728E8,2.02899634E8,2.02899636E8,3.12252247E8,3.1225225E8,2.14564203E8,2.14564209E8,3.25912285E8,3.25912287E8,2.2626774E8,2.26267742E8,3.38629786E8,3.38629788E8,2.40584162E8,2.40584163E8,3.49934092E8,3.49934096E8
1.0E7,1.0E-8,0.0,-1.0,581.0,0.0,1.0069214E7,0.0,1.0152807E7,0.0,3633635.0,0.0,6149719.0,0.0,1599265.0,0.0,6782811.0,0.0,721601.0,0.0,8860173.0,0.0,326294.0,0.0,4927243.0,0.0,146553.0,0.0,8790895.0,0.0,65086.0,0.0,7170332.0,0.0,28732.0,2.0,5787520.0,0.0,12552.0,6.0,1.0422684E7,0.0,5489.0,12.0,5416797.0,0.0,2289.0,38.0,7471438.0,0.0,1018.0,135.0,8486790.0,0.0,418.0,343.0,5311028.0,0.0,168.0,1000.0,9549703.0,0.0,89.0,3164.0,6512501.0,0.0,32.0,9158.0,6214452.0,0.0,15.0,27611.0,1.0487821E7,0.0,7.0,80090.0,5157378.0,0.0,3.0,207455.0,7549411.0,0.0,2.0,503618.0,7433976.0,0.0,0.0,694061.0,6065716.0,0.0,0.0,838830.0,9176077.0,0.0,0.0,895509.0,5360211.0,0.0,0.0,941225.0,1.0107884E7,0.0,0.0,1032080.0,4812157.0,0.0,0.0,1277176.0,8896168.0,0.0,0.0,2036994.0,5249509.0,0.0,0.0,4131972.0,1.0208442E7,0.0,0.0,7334115.0,9839707.0,0.0,0.0,1.1107153E7,1.2034133E7,0.0,0.0,1.3719818E7,1.406111E7,0.0,0.0,1.5349522E7,1.5477064E7,0.0,0.0,1.615775E7,1.6206187E7,0.0,0.0,1.7379251E7,1.7398327E7,0.0,0.0,1.9619552E7,1.9627207E7,0.0,0.0,2.3911936E7,2.3914986E7,0.0,0.0,3.1389947E7,3.1390943E7,0.0,0.0,4.0797136E7,4.0797395E7,0.0,0.0,4.9900993E7,4.9901049E7,0.0,0.0,5.9322631E7,5.9322639E7,0.0,0.0,6.7445469E7,6.744547E7,0.0,0.0,7.4610994E7,7.4610995E7,0.0,0.0,8.0916894E7,8.0916894E7,0.0,0.0,8.733034E7,8.733034E7,0.0,0.0,9.6318926E7,9.6318926E7,0.0,0.0,1.09630575E8,1.09630575E8,0.0,0.0,1.25524806E8,1.25524806E8,0.0,0.0,1.43636658E8,1.43636658E8,0.0,0.0,1.62306638E8,1.62306638E8,0.0,0.0,1.80094523E8,1.80094524E8
1.0E7,1.0E-9,0.0,-1.0,-1.0,0.0,1.0040905E7,0.0,1.0030998E7,0.0,3634460.0,0.0,6545171.0,0.0,1614015.0,0.0,6753227.0,0.0,735072.0,0.0,8806681.0,0.0,336310.0,0.0,4901333.0,0.0,151241.0,0.0,8742691.0,0.0,67192.0,0.0,7138113.0,0.0,30065.0,0.0,5765302.0,0.0,13268.0,0.0,1.0392979E7,0.0,5747.0,0.0,5403473.0,0.0,2461.0,0.0,7470205.0,0.0,1065.0,0.0,7750437.0,0.0,469.0,0.0,5411373.0,0.0,238.0,0.0,9655269.0,0.0,61.0,0.0,5954144.0,0.0,34.0,0.0,6883304.0,0.0,18.0,0.0,8778274.0,0.0,7.0,0.0,5123733.0,0.0,5.0,0.0,9237623.0,0.0,11.0,0.0,6390971.0,0.0,2.0,0.0,6722596.0,0.0,3.0,0.0,9466620.0,0.0,0.0,0.0,5042972.0,0.0,0.0,0.0,9219185.0,0.0,0.0,0.0,6409235.0,0.0,0.0,0.0,6788566.0,0.0,0.0,0.0,8780606.0,0.0,0.0,0.0,5208451.0,0.0,0.0,0.0,8645495.0,0.0,0.0,0.0,6732337.0,0.0,0.0,0.0,6492135.0,0.0,0.0,0.0,9261678.0,0.0,0.0,0.0,5019554.0,0.0,0.0,0.0,9252316.0,0.0,0.0,0.0,6473040.0,0.0,0.0,0.0,6329628.0,0.0,0.0,0.0,9926170.0,0.0,0.0,0.0,4898140.0,0.0,0.0,0.0,8961755.0,0.0,0.0,0.0,6328242.0,0.0,0.0,0.0,6807307.0,0.0,0.0,0.0,8864795.0,0.0,0.0,0.0,5292387.0,0.0,0.0,0.0,9871144.0,0.0,0.0,0.0,5634816.0,0.0,0.0,0.0,7464547.0,0.0,0.0,0.0,7976202.0,0.0,0.0,0.0,5777148.0,0.0,0.0,0.0,1.100288E7,0.0,0.0,0.0,5028927.0
1.0E8,1.0E-7,0.0,411.0,474.0,45.0,1.00291401E8,21.0,1.00381773E8,140.0,3.7527677E7,69.0,6.6206115E7,557.0,1.9552769E7,128.0,7.2950096E7,2168.0,1.0598631E7,404.0,8.399838E7,8998.0,5687958.0,923.0,5.1344755E7,34252.0,2979240.0,2234.0,9.6040989E7,125329.0,1587529.0,6208.0,6.8431736E7,438539.0,1132714.0,13465.0,6.3518199E7,1458894.0,1778034.0,39668.0,9.3923339E7,4013890.0,4154004.0,104209.0,5.1145617E7,7842510.0,7900812.0,251592.0,7.7704525E7,1.1617986E7,1.1641492E7,792016.0,7.5125646E7,1.5518913E7,1.552831E7,1755690.0,5.754644E7,1.840373E7,1.8407534E7,3778674.0,1.02387968E8,2.1075615E7,2.1077256E7,6893452.0,4.8447907E7,2.4228303E7,2.4228909E7,1.0347401E7,9.0133458E7,2.9760378E7,2.9760607E7,1.6550708E7,4.944906E7,4.0397945E7,4.0398035E7,2.2094653E7,1.0331396E8,5.7951129E7,5.7951167E7,2.8596134E7,5.8780397E7,8.142656E7,8.1426575E7,3.7383207E7,5.1003503E7,1.06958584E8,1.0695859E8,4.7459835E7,5.3452153E7,1.30976738E8,1.3097674E8,6.2878086E7,6.5328943E7,1.52468627E8,1.5246863E8,8.2235888E7,8.3123723E7,1.72031652E8,1.72031655E8,1.03280982E8,1.03571982E8,1.89142749E8,1.89142752E8,1.26609299E8,1.26696291E8,2.03832823E8,2.03832824E8,1.51234865E8,1.5125851E8,2.1862655E8,2.18626553E8,1.75414397E8,1.75420284E8,2.33921394E8,2.33921396E8,1.9893693E8,1.98938341E8,2.50137586E8,2.50137587E8,2.20341661E8,2.20341982E8,2.70064266E8,2.70064267E8,2.38384431E8,2.38384506E8,2.94466048E8,2.94466052E8,2.53558945E8,2.53558964E8,3.18250392E8,3.18250395E8,2.69582289E8,2.69582294E8,3.37711142E8,3.37711143E8,2.86054757E8,2.8605476E8,3.52285132E8,3.52285134E8,3.02386053E8,3.02386054E8,3.63723014E8,3.6372302E8,3.18496706E8,3.18496707E8,3.72736708E8,3.72736713E8,3.34300623E8,3.34300631E8,3.80295782E8,3.80295785E8,3.48904574E8,3.48904577E8,3.8701531E8,3.87015312E8,3.62054584E8,3.6205459E8,3.92953106E8,3.92953108E8,3.73526634E8,3.73526641E8,3.9828829E8,3.98288293E8,3.82972778E8,3.8297278E8,4.03532364E8,4.03532366E8,3.91335619E8,3.91335623E8,4.08559301E8,4.08559303E8,3.98463884E8,3.98463889E8,4.13202468E8,4.13202469E8,4.04505413E8,4.04505417E8,4.17670169E8,4.17670171E8,4.09618682E8,4.09618685E8,4.21839679E8,4.21839681E8,4.13727677E8,4.13727679E8,4.25346088E8,4.2534609E8,4.17338749E8,4.17338752E8,4.28445832E8,4.28445833E8,4.20531131E8,4.20531131E8,4.30945147E8,4.30945149E8,4.23480299E8,4.23480301E8,4.33106533E8,4.33106536E8,4.26033212E8,4.26033215E8,4.34864504E8,4.34864507E8,4.28332911E8,4.28332914E8
1.0E8,1.0E-8,0.0,669.0,670.0,1.0,1.00269929E8,1.0,1.00322539E8,2.0,3.7769131E7,1.0,6.5731616E7,14.0,1.9743119E7,1.0,7.2300223E7,47.0,1.075918E7,1.0,8.2993455E7,143.0,5795349.0,3.0,5.0650503E7,507.0,3012741.0,9.0,1.04536428E8,1865.0,1503360.0,33.0,6.4783074E7,6049.0,727362.0,66.0,6.5904405E7,20252.0,353141.0,172.0,8.9244897E7,66048.0,215753.0,418.0,4.9904024E7,208716.0,275225.0,1049.0,8.6336491E7,609676.0,638660.0,3411.0,7.2645411E7,1115363.0,1128192.0,8483.0,5.9173256E7,1386717.0,1392119.0,25628.0,9.7944815E7,1570942.0,1573264.0,70593.0,5.038476E7,1898894.0,1899860.0,167566.0,7.8434807E7,2305492.0,2305886.0,454875.0,7.6148815E7,2709336.0,2709515.0,763858.0,5.8143528E7,3555333.0,3555396.0,1339671.0,9.8088844E7,5219461.0,5219483.0,2227982.0,4.7488757E7,8534557.0,8534572.0,3168692.0,8.3641677E7,1.3487254E7,1.3487261E7,4494069.0,6.8489004E7,1.8960226E7,1.8960226E7,5488479.0,6.4958484E7,2.4289321E7,2.4289321E7,7011903.0,8.5423741E7,2.918005E7,2.9180052E7,8703527.0,5.5594013E7,3.3099241E7,3.3099241E7,1.210571E7,9.9194293E7,3.6491168E7,3.6491168E7,1.7353161E7,5.7225064E7,4.1360043E7,4.1360043E7,2.6707626E7,7.6615468E7,4.9157955E7,4.9157955E7,3.6131797E7,7.7558142E7,5.9376725E7,5.9376725E7,5.0347336E7,6.8177683E7,7.0693369E7,7.069337E7,6.6145588E7,7.3905811E7,8.4379412E7,8.4379412E7,8.1390667E7,8.4584509E7,9.8397439E7,9.8397439E7,9.6655928E7,9.7899073E7,1.13526035E8,1.13526035E8,1.11487952E8,1.11945822E8,1.27032489E8,1.27032489E8,1.28129826E8,1.28291409E8,1.38653499E8,1.38653499E8,1.45607678E8,1.4566249E8,1.48175902E8,1.48175902E8,1.64011472E8,1.64029373E8,1.58203515E8,1.58203515E8,1.84935928E8,1.8494177E8,1.69226642E8,1.69226642E8,2.07433407E8,2.0743531E8,1.81668999E8,1.81668999E8,2.28993157E8,2.28993722E8,1.94984716E8,1.94984717E8,2.48350101E8,2.48350287E8,2.09181965E8,2.09181965E8,2.64366634E8,2.64366674E8,2.24860608E8,2.2486061E8,2.79855946E8,2.79855953E8,2.41079958E8,2.41079958E8,2.95363216E8,2.9536322E8,2.55393347E8,2.55393347E8,3.11721922E8,3.11721924E8,2.67178119E8,2.67178119E8,3.27433899E8,3.274339E8,2.78471484E8,2.78471484E8,3.41940815E8,3.41940815E8,2.89194273E8,2.89194273E8,3.5410828E8,3.54108281E8,2.98655489E8,2.98655489E8,3.64922927E8,3.64922928E8,3.08389176E8,3.08389176E8,3.73820483E8,3.73820483E8
1.0E8,1.0E-9,0.0,-1.0,896.0,0.0,1.00390495E8,1.0,1.00242806E8,0.0,3.7977962E7,1.0,6.6543455E7,0.0,1.9808442E7,1.0,6.9236521E7,0.0,1.0757618E7,1.0,8.2353313E7,0.0,5768971.0,1.0,5.1376173E7,0.0,2995537.0,4.0,9.6714376E7,0.0,1487586.0,8.0,6.3350598E7,0.0,708960.0,29.0,6.6213245E7,0.0,328310.0,80.0,9.0245617E7,0.0,147613.0,166.0,4.8017532E7,0.0,64451.0,447.0,8.2325012E7,0.0,27936.0,1400.0,7.142348E7,0.0,12057.0,3440.0,5.9232621E7,0.0,4997.0,10350.0,9.8604875E7,0.0,2284.0,28933.0,5.0962612E7,0.0,985.0,72215.0,7.966404E7,0.0,428.0,229102.0,7.1389803E7,0.0,183.0,429321.0,6.0465042E7,0.0,80.0,690406.0,9.4563966E7,0.0,25.0,826577.0,4.8662415E7,0.0,14.0,887055.0,8.8806429E7,0.0,6.0,940093.0,6.4434756E7,0.0,2.0,996604.0,6.6669322E7,0.0,1.0,1173801.0,8.8068618E7,0.0,1.0,1612999.0,5.0574923E7,0.0,2.0,2642305.0,9.5162222E7,0.0,0.0,4942836.0,5.8494037E7,0.0,0.0,7383806.0,7.5602361E7,0.0,0.0,1.1188161E7,6.3138927E7,0.0,0.0,1.3432773E7,7.3540541E7,0.0,0.0,1.6433028E7,5.8795615E7,0.0,0.0,1.8138518E7,7.9614799E7,0.0,0.0,1.962854E7,5.1167331E7,0.0,0.0,2.1297228E7,9.4527107E7,0.0,0.0,2.5461688E7,5.653533E7,0.0,0.0,3.3690444E7,5.7035396E7,0.0,0.0,4.2662941E7,1.01919941E8,0.0,0.0,5.2607331E7,7.5977882E7,0.0,0.0,6.2337032E7,7.3269787E7,0.0,0.0,7.027918E7,7.5477891E7,0.0,0.0,7.730571E7,7.9750728E7,0.0,0.0,8.2771033E7,8.3905154E7,0.0,0.0,8.9191356E7,8.9707593E7,0.0,0.0,9.8951363E7,9.9176884E7,0.0,0.0,1.10391581E8,1.1048454E8,0.0,0.0,1.22508125E8,1.22545487E8,0.0,0.0,1.33938556E8,1.33953196E8,0.0,0.0,1.44839961E8,1.44845538E8,0.0,0.0,1.55613272E8,1.55615304E8,0.0,0.0,1.65340753E8,1.65341513E8
1000000.0,1.0E-7,1.0,-1.0,658.0,0.0,1007535.0,0.0,1002418.0,0.0,373737.0,0.0,614026.0,0.0,160605.0,0.0,694478.0,0.0,69819.0,0.0,855800.0,0.0,30161.0,0.0,519104.0,0.0,13060.0,0.0,910886.0,0.0,5559.0,0.0,626648.0,0.0,2436.0,0.0,679444.0,0.0,1063.0,0.0,949726.0,0.0,466.0,1.0,473884.0,0.0,160.0,1.0,873127.0,0.0,45.0,0.0,672427.0,0.0,11.0,0.0,678818.0,0.0,3.0,0.0,867118.0,0.0,0.0,0.0,534764.0,0.0,0.0,0.0,1008376.0,0.0,0.0,2.0,517215.0,0.0,0.0,7.0,793794.0,0.0,0.0,15.0,749981.0,0.0,0.0,49.0,626135.0,0.0,0.0,192.0,978165.0,0.0,0.0,556.0,497776.0,0.0,0.0,1692.0,852704.0,0.0,0.0,5267.0,663838.0,0.0,0.0,16260.0,688543.0,0.0,0.0,51453.0,830001.0,0.0,0.0,158329.0,690039.0,0.0,0.0,446336.0,670707.0,0.0,0.0,682316.0,772933.0,0.0,0.0,756709.0,793666.0,0.0,0.0,793303.0,808896.0,0.0,0.0,841994.0,848484.0,0.0,0.0,947508.0,950330.0,0.0,0.0,1237944.0,1239141.0,0.0,0.0,2033388.0,2033900.0,0.0,0.0,3665515.0,3665738.0,0.0,0.0,6551662.0,6551746.0,0.0,0.0,9723446.0,9723468.0,0.0,0.0,1.2427802E7,1.2427803E7,0.0,0.0,1.406892E7,1.4068921E7,0.0,0.0,1.531969E7,1.5319691E7,0.0,0.0,1.7234959E7,1.723496E7,0.0,0.0,2.023227E7,2.023227E7,0.0,0.0,2.435786E7,2.435786E7,0.0,0.0,3.0921196E7,3.0921196E7,0.0,0.0,4.0276086E7,4.027609E7,0.0,0.0,5.0973596E7,5.0973596E7,0.0,0.0,6.0992116E7,6.0992119E7,0.0,0.0,6.7820485E7,6.7820485E7,0.0,0.0,7.4182207E7,7.4182211E7
